location,date,thanks,text
"New Orleans, LA",11/8/2025 0:00,8,"I have been pleasantly surprised by TM! It's coverage and speed beat ATT in almost every area I frequent. Even at the camp. Good thing is if you are in a fringe area or dead zone it creates a uplink to Starlink so your phone doesn't have connectivity as long as you are outdoors. It works to automatically, so there is no manual toggling back and forth. This is really a game changer for cell Services. The service we are on is priced very competitively. Definitely saving us some real $$. My opinion is worth what u paid for it...$0. jJust a heads up! May be worth looking into. We are on the Magenta 55+"
"Pryor, OK","Oct. 30, 2025 Re",30,"The first visit to this store in Pryor, we had another associate and by the helpful actions of ** to each customer, we made the assumption that he was the manager. On our second visit to the store, we were fortunate enough to have ** help us. We learned then that this store doesn’t have an official manager. Are they trying to save money? They won’t if they lose **! Who else would work with a rival company for a couple of hours to get the information needed to change a customer over? All the while, helping other associates with their questions and customers. Who else would make us feel valuable as a customer and make what easily could’ve been a stressful interaction, one of calmness and kindness? This was our experience with ** and wherever he goes, we’ll follow, because his knowledge and customer service is that good! Finally, may I suggest again, that he be made a manager officially since he’s already doing a great job at it! Thank you for having T-Mobile at Pryor and good people at this location. Darrell & Debbie ** Salina, OK"
"Batavia, IL","Aug. 14, 2025 If you are a T",65,"Unknowingly the person set up a payment the completely engaged in fraud (for T-Mobile) and removed all the money from my card, plus I paid the amount she told me to pay on the specific day, which I paid also. I called the spoke to a representative to have the money ""taken"" from my card returned, and was told that since my balance was in arrears, they were going to ""keep the money that they took without authorization. Be aware, don't talk to any of T-mobile's foreign agents, they are robbers and thieves and T-mobile allows this underhanded maneuvering to continue. My service was interrupted. I made a plan to have the service restored, and followed the directions of their representative and they still STOLE the money from my card that was for HOLDING ONLY. DON'T TRUST THEM."
"Oviedo, FL","July 14, 2025 The Oviedo T",1998,"Only to have spent 8 hours 4 till 9m to get no where for there was two accounts in my name one should have been cancelled long ago! The next morning T-Mobile activation dept was to call me to help and never did. So I spent three hours in person that day with Mario helping me to get my Sereno and fixed. Mario was kind - listened to me - he got what I was saying got on the phone after pulling up both my accounts /he canceled the old account - spoke with the activation dept - got my numbers corrected and I ended up buying a phone from Mario. He took the time to help me - he listens and even though I did not go in to up grade my phone - he made the sale just knowing this nice, kind and profession man - was helping me! Was worth buy a new phone in return!!! Maybe his co worker could learn something from compassion and kindness. Thank you Mario!"
"Las Vegas, NV","June 22, 2025 I",22,"However it's true...! Recently I forgot to pay my bill and my phone service was turned off! I was in a situation that required my phone service and no way to pay the bill until the next day! T-Mobile went out of their way and figured out how to restore my service anyway, so that I could complete an obligation! That saved me and my customers valuable time! Without my service it could have cost me and my customers money and time. I'm so appreciative to T-Mobile for this and many other things they bring to the table. For me ""A grumpy old man!"" To say this is very rare! Thank you T Mobile!!!!"
"Clinton Township, MI","Nov. 9, 2025 The app NEVER works properly and my bill keeps increasing. Pay attention to your bill because they will try to overcharge you at every opportunity and hope you don",9,The app NEVER works properly and my bill keeps increasing. Pay attention to your bill because they will try to overcharge you at every opportunity and hope you don't notice. Very unscrupulous and untrustworthy.
"Los Angeles, CA","Nov. 8, 2025 Best customer service with a very few exceptions. Very shady business practice started after merging with Sprint PCS. CONVINCE you to get their service in one price and suddenly you see a different bill. They do not send you any email confirmation of the pricing you agreed upon and totally pretend that they do not have the record of the deal. DO NOT CANCEL YOUR PREVIOUS SERVICE UNTIL ALL THE BILLINGS ARE CONFIRMED WITH TMOBILE IN EMAIL OR IN THEIR APP. Thanks for your vote",8,Best customer service with a very few exceptions. Very shady business practice started after merging with Sprint PCS. CONVINCE you to get their service in one price and suddenly you see a different bill. They do not send you any email confirmation of the pricing you agreed upon and totally pretend that they do not have the record of the deal. DO NOT CANCEL YOUR PREVIOUS SERVICE UNTIL ALL THE BILLINGS ARE CONFIRMED WITH TMOBILE IN EMAIL OR IN THEIR APP.
"San Diego, CA","Nov. 8, 2025 As of today, they still owe me over",8,"As of today, they still owe me over $150.00. It’s been over a year that I briefly switched from Verizon to T-Mobile, bought a new phone and use their services for only 3 days because their internet device didn’t work at all. They said they’d refund the remaining days of the month after I returned the phone and went back to Verizon. But it never happened. All I get from them is junk mail. T-Mobile is a SCAM!!! DO NOT TRUST THEM!!!"
"Ashburn, VA","Nov. 8, 2025 Worst customer support and service ever. Closed my account and confirmed with them about balance and they said there are no more remaining bills and then sent me a bill and are asking me for a pin for an account I do not use anymore and reported me to collections. I still paid the bill as soon as I saw it and called them to confirm they have received it and they are saying that they need my account pin to check for an inactive service. I",8,Worst customer support and service ever. Closed my account and confirmed with them about balance and they said there are no more remaining bills and then sent me a bill and are asking me for a pin for an account I do not use anymore and reported me to collections. I still paid the bill as soon as I saw it and called them to confirm they have received it and they are saying that they need my account pin to check for an inactive service. I'm on the Verizon service now and they are much more respectful of peoples time.
"Redding, CA","Nov. 8, 2025 Recently downgraded my phone, I traded in a 16pro max for a iPhone 15 and was told I had a credit of 580 because my phone I traded in was of higher value. My husband also traded in his 15 Pro Max for a 16e b, said phone was cheaper and he was to receive a credit of 430. So needed to say we haven",8,"I call to sort it out and they said they used my credit to pay off a phone. Both our phones were traded in and we were given credit for both phones, so how do I owe a bill monthly for the phone rental that makes no sense right? Well, according to them, they never gave us such an amount and we owe for both phones monthly... Why would I trade my owned 16pro max in for a 15 if I were going to have to make payments still? I wouldn’t, that makes no sense. They are doing something fishy and not honoring the original contract we signed and I can't find the original paperwork anywhere. All they have is papers we signed electronically just the name typed out, even though I know we signed for everything in the store, so how does that happen?"
